№ вопроса,Документ 1,Документ 2,Документ 3,Документ 4,Документ 5,Документ 6,Документ 7,Документ 8,Документ 9,Документ 10
1,"1|Париж — столица Франции. Это крупнейший город страны, известный своими историческими памятниками, такими как Эйфелева башня и Лувр.","0|Франция — страна в Западной Европе, граничащая с Бельгией, Германией и Испанией. Она известна своей кухней, культурой и искусством.",1|Париж — город расположен на реке Сена. Он является важным экономическим и культурным центром Франции.,"0|Столицы европейских стран: Берлин — Германия, Мадрид — Испания, Рим — Италия.","0|Французская кухня славится своими сырами, винами и изысканными блюдами, такими как фуа-гра и круассаны.",0|Париж был основан в III веке до нашей эры. Сегодня это один из самых посещаемых городов мира.,"0|Франция участвовала во многих исторических событиях, включая Французскую революцию и мировые войны.","1|Париж — это не только столица Франции, но и центр моды и искусства. Здесь проходят показы высокой моды и выставки мирового уровня.","0|Великобритания — страна, столицей которой является Лондон. Она известна своими традициями и историческими достопримечательностями.","0|Франция разделена на 18 регионов, каждый из которых имеет свои уникальные особенности и культуру."
2,"1|Вторая мировая война началась 1 сентября 1939 года, когда Германия вторглась в Польшу. Это событие стало отправной точкой для крупнейшего вооруженного конфликта в истории человечества.",1|Период Второй мировой войны охватывает 1939–1945 годы. Война затронула почти все страны мира и привела к значительным изменениям в политической карте мира.,"1|В 1939 году Германия под руководством Адольфа Гитлера начала агрессивную экспансию, что привело к началу Второй мировой войны. Первой жертвой нацистской агрессии стала Польша.","1|Вторая мировая война началась с нападения Германии на Польшу, что привело к вступлению в войну Великобритании и Франции. Дата начала войны — 1 сентября 1939 года.","1|Вторая мировая война считается крупнейшим конфликтом в истории. Она началась в 1939 году и завершилась в 1945 году, охватив все континенты и большинство стран мира.","0|В 1938 году был подписан Мюнхенский договор, который позволил Германии аннексировать часть Чехословакии. Это событие стало предвестником будущего конфликта.","0|После Первой мировой войны был подписан Версальский договор, который наложил на Германию значительные ограничения. Это стало одной из причин роста национализма в стране.","0|Вторая мировая война привела к созданию Организации Объединенных Наций (ООН) в 1945 году, что стало попыткой предотвратить будущие глобальные конфликты.","0|В 1941 году произошло нападение на Перл-Харбор, что привело к вступлению США во Вторую мировую войну. Это событие значительно повлияло на ход конфликта.","0|Холодная война, начавшаяся после Второй мировой войны, стала периодом противостояния между СССР и США, длившимся до конца 1980-х годов."
3,"1|""Война и мир"" — это эпический роман, написанный Львом Толстым. Произведение было опубликовано в 1869 году и считается одним из величайших произведений мировой литературы. Роман охватывает события времен Наполеоновских войн и описывает жизнь различных слоев русского общества.","1|Лев Толстой, известный русский писатель, создал множество выдающихся произведений, среди которых ""Анна Каренина"" и ""Воскресение"". Однако именно ""Война и мир"" принесла ему мировую славу и признание как одного из величайших литераторов всех времен.","1|В 1869 году Лев Толстой завершил работу над своим знаменитым романом ""Война и мир"". Это произведение стало не только литературным шедевром, но и важным историческим документом, отражающим жизнь России в эпоху Наполеоновских войн.","1|""Война и мир"" — это не просто роман, это масштабное полотно, охватывающее судьбы множества персонажей. Лев Толстой работал над этим произведением в течение нескольких лет, стараясь максимально точно передать дух эпохи и сложность человеческих отношений.","1|Лев Толстой начал писать ""Войну и мир"" в 1863 году, а закончил в 1869. Этот роман считается одним из самых значимых произведений в истории литературы, благодаря своей глубине, масштабности и психологической точности.","0|Погода в Москве сегодня ожидается солнечной, с температурой около 20 градусов тепла. Ветер будет слабым, осадков не предвидится. Идеальные условия для прогулок по городу.","0|Рецепт классического яблочного пирога: возьмите 200 грамм муки, 100 грамм сливочного масла, 150 грамм сахара и 3 яйца. Смешайте ингредиенты, добавьте нарезанные яблоки и выпекайте в духовке при 180 градусах в течение 40 минут.","0|Советы по уходу за комнатными растениями: поливайте их регулярно, но не переувлажняйте почву. Обеспечьте достаточное количество света, но избегайте прямых солнечных лучей. Периодически удобряйте растения для поддержания их здоровья.","0|История развития кинематографа началась в конце XIX века с изобретения братьев Люмьер. С тех пор кино стало одним из самых популярных видов искусства, отражающим различные аспекты человеческой жизни и культуры.","0|Правила дорожного движения в России включают обязательное использование ремней безопасности, соблюдение скоростного режима и запрет на управление транспортным средством в состоянии алкогольного опьянения. Нарушение этих правил может привести к штрафам или лишению водительских прав."
4,"1|Символ ""O"" в периодической таблице химических элементов обозначает кислород. Кислород является восьмым элементом в таблице и играет ключевую роль в процессах дыхания и горения.","1|В химии символ ""O"" используется для обозначения кислорода. Этот элемент широко распространен в природе и необходим для поддержания жизни на Земле.","1|Кислород, обозначаемый символом ""O"", является важным элементом для большинства живых организмов. Он участвует в процессе фотосинтеза и дыхания.","1|Символ ""O"" соответствует кислороду, который является одним из самых распространенных элементов на Земле. Кислород используется в медицине, промышленности и других областях.","1|Кислород, с символом ""O"", является газом без цвета и запаха. Он составляет около 21% атмосферы Земли и необходим для дыхания.","0|Железо обозначается символом ""Fe"" и является важным металлом для промышленности. Его используют в производстве стали и других сплавов.","0|Водород, символ ""H"", является самым легким и самым распространенным элементом во Вселенной. Он используется в химической промышленности и в качестве топлива.","0|Углерод, символ ""C"", является основой всех органических соединений. Он играет ключевую роль в биологии и химии.","0|Азот, символ ""N"", составляет около 78% атмосферы Земли. Он используется в производстве удобрений и в химической промышленности.","0|Сера, символ ""S"", является элементом, который используется в производстве серной кислоты и других химических соединений. Она также встречается в природе в виде минералов."
5,"1|В Солнечной системе насчитывается восемь планет. К ним относятся Меркурий, Венера, Земля, Марс, Юпитер, Сатурн, Уран и Нептун. Плутон, ранее считавшийся девятой планетой, был переклассифицирован в карликовую планету.","1|По современной классификации, в Солнечной системе восемь планет. Они делятся на две группы: внутренние (Меркурий, Венера, Земля, Марс) и внешние (Юпитер, Сатурн, Уран, Нептун).","1|Солнечная система состоит из восьми планет, начиная от ближайшей к Солнцу — Меркурия — и заканчивая самой дальней — Нептуном. Плутон больше не считается планетой, так как не соответствует всем критериям планетарного статуса.","1|В 2006 году Международный астрономический союз официально признал, что в Солнечной системе восемь планет. Плутон был исключен из списка планет и отнесен к категории карликовых планет.","1|Солнечная система включает в себя восемь планет, которые вращаются вокруг Солнца. Эти планеты различаются по размеру, составу и другим характеристикам, но все они являются основными объектами системы.",1|Марс — четвертая планета от Солнца и одна из восьми планет Солнечной системы. Он известен своими красными песчаными пустынями и потенциальной возможностью поддержания жизни.,"0|Юпитер — самая большая планета Солнечной системы. Он является газовым гигантом и имеет множество спутников, включая Ганимед, который больше Меркурия.","0|Солнце — центральная звезда Солнечной системы. Оно обеспечивает энергией все планеты и другие объекты, вращающиеся вокруг него.","0|Кометы — это небольшие небесные тела, состоящие из льда, пыли и камней. Они часто имеют яркие хвосты, которые видны при приближении к Солнцу.","0|Астероиды — это небольшие каменистые объекты, которые вращаются вокруг Солнца. Большинство из них находится в поясе астероидов между Марсом и Юпитером."
6,"1|Александр Грэм Белл, шотландский ученый и изобретатель, получил патент на изобретение телефона 7 марта 1876 года. Его работа стала важным шагом в развитии телекоммуникаций.","1|Телефон был изобретен в конце 19 века, и его создание приписывается Александру Грэм Беллу. Однако споры о приоритете изобретения продолжаются до сих пор, так как Элиша Грей подал заявку на патент в тот же день.","1|История изобретения телефона включает несколько ключевых фигур. Александр Грэм Белл считается основным изобретателем, но Антонио Меуччи также внес значительный вклад в развитие технологии.","1|Телефон был изобретен в 1876 году. Патент на это устройство получил Александр Грэм Белл, что стало важным событием в истории связи и коммуникаций.","0|В 19 веке многие ученые работали над созданием устройств для передачи звука. Александр Грэм Белл стал первым, кто получил патент на телефон, что сделало его ключевой фигурой в этой области.",0|В 1876 году Александр Грэм Белл представил свой телефон на Всемирной выставке в Филадельфии. Это событие привлекло внимание общественности и стало началом новой эры в телекоммуникациях.,"1|Современные смартфоны являются результатом многолетнего развития технологий. Их прообразом стал телефон, изобретенный Александром Грэм Беллом в 19 веке.","1|Александр Грэм Белл, известный своими работами в области акустики, получил патент на телефон в 1876 году. Его изобретение изменило способ общения людей на расстоянии.","1|Телефон был изобретен в 1876 году, но его развитие продолжалось на протяжении многих лет. Александр Грэм Белл считается основным изобретателем, хотя другие ученые также внесли свой вклад.",1|В 19 веке Александр Грэм Белл работал над созданием устройства для передачи звука. Его изобретение телефона стало важным шагом в развитии телекоммуникаций и связи.
7,"1|Вода — это химическое соединение с формулой H₂O, состоящее из двух атомов водорода и одного атома кислорода. Это одно из самых распространенных веществ на Земле.","1|Химическая формула воды — H₂O. Она представляет собой соединение, где два атома водорода связаны с одним атомом кислорода. Вода является основой жизни на нашей планете.","1|H₂O — это формула воды, которая обозначает, что молекула воды состоит из двух атомов водорода и одного атома кислорода. Это вещество играет ключевую роль в биологических процессах.","1|Вода — это прозрачная жидкость без цвета и запаха, химическая формула которой — H₂O. Она необходима для существования всех известных форм жизни.","1|Формула воды, H₂O, отражает ее состав: два атома водорода и один атом кислорода. Вода является универсальным растворителем и участвует в множестве химических реакций.",0|Углекислый газ имеет формулу CO₂. Он выделяется при сжигании органических веществ и играет важную роль в процессе фотосинтеза.,0|Метан — это простейший углеводород с формулой CH₄. Он является основным компонентом природного газа и используется в качестве топлива.,"0|Поваренная соль, или хлорид натрия, имеет химическую формулу NaCl. Она широко используется в кулинарии и пищевой промышленности.",0|Глюкоза — это простой сахар с формулой C₆H₁₂O₆. Она является основным источником энергии для живых организмов.,0|Аммиак имеет химическую формулу NH₃. Он используется в производстве удобрений и других химических соединений.
8,1|Эверест — самая высокая гора в мире. Её высота составляет 8848 метров над уровнем моря.,"0|Эверест, расположенный в Гималаях, является одной из самых известных вершин на планете. Его высота составляет 8848 метров над уровнем моря.","0|Гора Эверест привлекает альпинистов со всего мира благодаря своей сложности и высоте. Многие пытаются покорить её вершину, но не всем это удаётся.","0|Гималаи — это горная система, которая включает в себя множество высоких вершин. Эверест является частью этой системы и находится на границе Непала и Китая.",0|Восхождение на Эверест требует тщательной подготовки и специального оборудования. Погодные условия на вершине могут быть крайне суровыми.,"0|Канченджанга — третья по высоте гора в мире, расположенная в Гималаях. Её высота составляет 8586 метров.",0|Гора Эверест была впервые покорена в 1953 году Эдмундом Хиллари и Тенцингом Норгеем. Это событие стало важной вехой в истории альпинизма.,0|Аконкагуа — самая высокая гора в Южной Америке. Её высота составляет 6961 метр над уровнем моря.,"0|Эверест известен своими экстремальными условиями, включая низкие температуры и разреженный воздух. Это делает восхождение на него особенно сложным.","0|Гора Килиманджаро, расположенная в Танзании, является самой высокой вершиной Африки. Её высота составляет 5895 метров."
9,"1|12 апреля 1961 года Юрий Гагарин стал первым человеком, побывавшим в космосе. Его полет на корабле ""Восток-1"" длился 108 минут и ознаменовал начало эры пилотируемых космических полетов.","0|Юрий Гагарин, советский космонавт, совершил исторический полет в космос 12 апреля 1961 года. Это событие стало важной вехой в истории освоения космоса.","1|Первый человек в космосе — Юрий Гагарин. Его полет на корабле ""Восток-1"" открыл новую эру в исследовании космоса и вдохновил миллионы людей по всему миру.","1|Юрий Гагарин, уроженец СССР, стал первым человеком, отправившимся в космос. Его достижение стало символом научного и технологического прогресса.",1|12 апреля 1961 года Юрий Гагарин совершил первый в истории человечества полет в космос. Это событие стало знаковым для всего мира.,0|Космическая программа СССР активно развивалась в 1960-х годах. Среди ее ключевых достижений — запуск первого искусственного спутника и полет человека в космос.,0|NASA было основано в 1958 году для исследования космоса. Одним из первых успехов агентства стал полет астронавта Алана Шепарда в 1961 году.,0|Космическая гонка между СССР и США началась в середине XX века. Она привела к значительным достижениям в области космических технологий и исследований.,"0|Экспедиция ""Аполлон-11"" в 1969 году доставила первых людей на Луну. Нил Армстронг и Базз Олдрин стали первыми людьми, ступившими на поверхность спутника Земли.","0|Космический корабль ""Союз"" используется для доставки космонавтов на Международную космическую станцию. Первый запуск ""Союза"" состоялся в 1967 году."
10,1|В 2009 году ЮНЕСКО объявила его Международным годом астрономии. Это было сделано в честь 400-летия первых телескопических наблюдений Галилео Галилея.,1|Международный год астрономии был провозглашен в 2009 году. Основной целью было повышение интереса к астрономии и науке в целом среди населения.,"1|2009 год стал Международным годом астрономии, чтобы отметить важные достижения в этой области и вдохновить новые поколения на изучение космоса.","1|В 2009 году по всему миру прошли мероприятия, посвященные Международному году астрономии, включая наблюдения за звездами и образовательные программы.",1|Международный год астрономии в 2009 году был инициирован Международным астрономическим союзом и поддержан ЮНЕСКО для популяризации астрономии.,"0|В 2010 году были проведены международные конференции по климатологии, но они не связаны с астрономией.","0|2008 год был объявлен Международным годом планеты Земля, чтобы привлечь внимание к проблемам экологии и геологии.","0|В 2007 году отмечалось 50-летие запуска первого искусственного спутника Земли, что стало важным событием в истории космонавтики.","0|2011 год был объявлен Международным годом химии, чтобы подчеркнуть важность этой науки для решения глобальных проблем.",0|В 2006 году прошли масштабные празднования в честь 100-летия со дня рождения известного физика Льва Ландау.
11,"1|Чемпионат мира по футболу 2022 года проходил в Катаре. Победителем турнира стала сборная Аргентины, обыгравшая в финале сборную Франции со счетом 4:2 по пенальти после ничьей 3:3 в основное и дополнительное время.","1|Аргентина завоевала третий титул чемпиона мира, победив в финале 2022 года. Лионель Месси был признан лучшим игроком турнира, завершив свою карьеру на ЧМ с золотой медалью.","1|В финале ЧМ-2022 сборная Аргентины одержала победу над Францией в напряженном матче, который завершился серией пенальти. Это стало одним из самых захватывающих финалов в истории чемпионатов мира.","1|Чемпионат мира 2022 года запомнился не только победой Аргентины, но и рекордным количеством зрителей на стадионах Катара. Турнир также стал первым, проведенным в зимнее время.","1|Аргентинская сборная под руководством Лионеля Скалони доказала свое превосходство, выиграв ЧМ-2022. Это стало важным событием для страны, которая не выигрывала чемпионат мира с 1986 года.","0|На прошлой неделе в Буэнос-Айресе прошел марафон, посвященный здоровому образу жизни. Участие в нем приняли более 10 тысяч человек.","0|Франция объявила о планах строительства нового стадиона к Олимпийским играм 2024 года. Проект оценивается в 1,5 миллиарда евро.",0|Катар инвестирует в развитие инфраструктуры для будущих спортивных мероприятий. Планируется строительство новых стадионов и тренировочных баз.,"0|Международная федерация футбола (ФИФА) объявила о новых правилах, которые вступят в силу с 2023 года. Они касаются использования видеоповторов и замен.","0|Бразилия готовится к проведению Кубка Америки в 2024 году. Ожидается, что турнир соберет лучшие сборные Южной Америки."
